English,French
How can I help you today?, Comment puis-je vous aider aujourd'hui?
Would you do it?,Le ferais-tu ?
I live in a hotel.,Je vis à l'hôtel.
Don't thank me. Thank Tom.,Ne me remercie pas. Remercie Tom.
Time's up.,Le temps est écoulé.
How tall you are!,Comme vous êtes grande !
Please bear with me.," S'il vous plaît, supportez-moi."
How may I assist you today?, Comment puis-je vous aider aujourd'hui?
Call the doctor right away.,Appelle le médecin tout de suite.
Is death the only way out?,La mort est-elle la seule issue ?
May I use your dictionary?,Puis-je utiliser votre dictionnaire ?
Calling you right now., Je vous appelle maintenant.
This coat doesn't fit me.,Ce manteau n'est pas à ma taille.
You're fascinating.,Vous êtes fascinantes.
Got it! Let me resend it now., Je l'ai! Permettez-moi de vous le renvoyer maintenant.
It's clean.,C'est propre.
I don't like you anymore.,Je ne t'aime plus.
I cannot praise her enough.,Je ne saurais assez la louer.
I'm psyched.,Je suis remonté.
I felt left out.,Je me sentis exclu.
Have you tried this before?,L'as-tu essayé auparavant ?
I like you.,Tu me plais.
I saw Tom slip and fall.,J'ai vu Tom glisser et tomber.
You'd better go in person.,Vous feriez mieux d'y aller en personne.
"Hi, Anne this is Delmy."," Salut, Anne, c'est Delmy."
Alright! Transferring you now., Bien! Vous transférer maintenant.
I never sleep in.,Je ne dors jamais sur mon lieu de travail.
Tom wasn't badly injured.,Tom n'a pas été gravement blessé.
What is all that stuff?,"C'est quoi, tous ces trucs ?"
I felt wonderful.,Je me suis senti très bien.
"Still here, Eric. Please hold on. "," Toujours là, Eric. Se il vous plaît tenir."
Eat your spinach.,Mange tes épinards !
Merci de nous avoir contacté, Merci de nous avoir contacté
Thank you for contacting Expedia. , Merci d'avoir contacté Expedia.
What a big dog!,Quel grand chien !
I feel ridiculous.,Je me sens ridicule.
Keep in touch!,Restez en contact s'il vous plait !
He told me not to smoke.,Il m'a dit de ne pas fumer.
Thanks for being so patience Asnil., Merci d'être si patient Asnil.
Do you see that?,Vois-tu ça ?
Can you unjam the printer?,Peux-tu débloquer l'imprimante ?
Are we still connected?, Sommes-nous toujours connectés?
Thanks. , Merci.
Is it that hard?,Est-ce si dur ?
Can I leave now?,Puis-je maintenant partir ?
Get inside.,Entre.
Now I remember.,Maintenant je me rappelle.
This might help.,Ça pourrait aider.
They're all here.,Ils sont tous ici.
Are we still together?, Sommes-nous toujours ensemble?
She never told me.,Jamais elle ne me l'a dit.
I can't stay mad at you.,Je ne peux pas rester en colère contre toi.
How can I help you?, Comment puis-je vous aider?
I'll cook bacon and eggs.,Je vais cuire du bacon et des œufs.
We drank all night.,Nous bûmes toute la nuit.
I freaked out.,J'ai eu les foies.
The rest doesn't matter.,Le reste n'importe pas.
I'm OK.,Ça va.
We take good care of them.,On s'occupe bien d'eux.
We must escape.,Il nous faut nous échapper.
All done now. Cancellation is done., Tout est fait maintenant. L'annulation est effectuée.
Is this seat free?,Cette place est-elle libre ?
Tom saw a mouse.,Tom a vu une souris.
That's not a job.,Ce n'est pas un travail.
I'm happy to do it.,Je suis heureuse de le faire.
I am still looking into it., Je regarde toujours.
I must have it shortened.,Il faut que je le raccourcisse.
Why are you so busy today?,Pourquoi êtes-vous si occupé aujourd'hui ?
He can also speak Russian.,Il sait aussi parler le russe.
Verify Customer, Vérifier le client
Don't you feel stupid now?,"Ne vous sentez-vous pas stupide, maintenant ?"
Why don't we just leave?,Pourquoi ne partons-nous pas simplement ?
I hope that I can do it.,J'espère que je peux le faire.
Verify Customer, Vérifier le client
"Anyhow, let's begin.",Quoi qu'il en soit commençons.
We knew no one.,Nous ne connaissions personne.
I no longer live in Boston.,Je n’habite plus à Boston.
Go up the stairs.,Prenez les escaliers.
Hang on let me get that for you. ," Attends, laisse-moi te le procurer."
Your reservations is now updated. , Vos réservations sont maintenant mises à jour.
He is ready to work.,Il est prêt à travailler.
How do you even know that?,"Comment le savez-vous, même ?"
My girlfriend is crying.,Ma petite copine est en train de pleurer.
47,quarante-sept
This guy's tough.,Ce mec est costaud.
That's not fair.,C'est injuste.
"Yes, cancel"," Oui, annuler"
He lives in a big house.,Il vit dans une grande maison.
He asked me out on a date.,Il m'a proposé de sortir avec lui.
I began to run.,J'ai commencé à courir.
We drank some wine.,Nous bûmes du vin.
Cancel booking, Annuler la réservation
Cancelling..., Annulation ...
You can take it.,Vous pouvez la prendre.
Tom is in command.,Tom est aux commandes.
I'm a geologist.,Je suis géologue.
It's really not that heavy.,Ce n'est vraiment pas si lourd.
Doing that will be hard.,Faire cela sera difficile.
It's very cold.,Il fait très froid.
Where's my tie?,Où est ma cravate ?
I totally understand you., Je te comprends parfaitement.
You look very pale.,Vous avez l'air très pâle.
Read what's on the label.,Lis ce qui est porté sur l'étiquette !
It's impossible to do that.,Il est impossible de faire cela.
No one saw us.,Personne ne nous a vues.
Still there?, Toujours là?
I come here every Monday.,Je viens là tous les lundis.
It was boring.,C'était barbant.
Jealousy made him do that.,C'est la jalousie qui l'a fait agir ainsi.
We'll play a tennis match.,Nous ferons une partie de tennis.
Please give me a moment to pull up your booking., Veuillez me donner un moment pour retirer votre réservation.
"Hello, This is Yara how can I help?"," Bonjour, Voici Yara, comment puis-je aider?"
Both Tom and Mary blushed.,Tom et Mary rougirent tous les deux.
I can now die a happy man.,Je peux désormais mourir heureux.
I'm correct.,J'ai raison.
I'm sick of your excuses.,J'en ai assez de vos excuses.
Are you on your way home?,Es-tu en route pour chez toi ?
Verify Customer, Vérifier le client
Be kind to the children.,Soyez gentils avec les enfants.
Check for airline credit, Vérifiez le crédit de la compagnie aérienne
Select booking, Sélectionnez la réservation
Hi JUNG, Salut JUNG
May I go to the bathroom?,Puis-je aller aux toilettes ?
Didn't you go out?,N'êtes-vous pas sorti ?
Do you know who they are?,Savez-vous qui elles sont ?
Does your dog bite?,Ton chien mord-il ?
It was disastrous.,Ce fut désastreux.
Take whatever you want.,Prends ce qui te chante !
Are you still there Ravi?, Êtes-vous toujours là Ravi?
Stop what you're doing.,Arrête ce que tu fais !
See you in a few minutes.,À dans quelques minutes.
He flew to Paris.,Il s'est envolé pour Paris.
I remember them.,Je me souviens d'eux.
Lie on your right side.,Étendez-vous sur le côté droit.
I use this.,J'utilise cela.
Who knows you have this?,Qui sait que tu as ceci ?
Go look for it.,Va la chercher !
No worries :), Pas de soucis :)
Nature is full of mystery.,La nature est pleine de mystère.
Sure. Calling them now., Sûr. Je les appelle maintenant.
Can we just drop it?,Pouvons-nous juste en rester là ?
The elevator is coming up.,L’ascenseur monte.
I got fined.,J'ai pris une contredanse.
I'm in charge of shopping.,Je suis responsable des courses.
What's in that box?,Qu'y a-t-il dans cette boîte ?
Are you up for it?,Y es-tu prête ?
Glad to help you!, Heureux de vous aider!
He apologized profusely.,Il se confondit en excuses.
You're very sophisticated.,Tu es très élégant.
ok thanks, OK merci
My shoes are too tight.,Mes chaussures sont trop serrées.
Oh I see. , Oh je vois.
No one agreed with him.,Personne n'était d'accord avec lui.
He did well for a beginner.,Il s'en est bien sorti pour un débutant.
What did you say?,Qu'avez-vous dit ?
I worry too much.,Je me fais trop de souci.
What's your age?,Quel âge avez-vous ?
"Show me the way, please.","Indiquez-moi le chemin, s'il vous plaît."
Do you have a copy?,En as-tu une copie ?
"Oopss, my message came late. Searching it now..."," Oups, mon message est arrivé en retard. Recherche maintenant ..."
Everyone started arguing.,Tout le monde s'est mis à se disputer.
He is heroic.,Il est héroïque.
Elephants are herbivores.,Les éléphants sont des animaux herbivores.
Thanks for that. , Merci pour ça.
"Denice here, how are you doing today?"," Denice ici, comment vas-tu aujourd'hui?"
Is that your dog?,Est-ce là ton chien ?
"Sure, no worries. "," Bien sûr, pas de soucis."
He came back from America.,Il revint d'Amérique.
Why are you lying?,Pourquoi mens-tu ?
"I am your friend, right?","Je suis bien ton ami, non ?"
Go back to bed.,Retournez au lit !
You are very welcome!, Vous êtes les bienvenus!
I suddenly became dizzy.,J'ai soudain été pris de vertiges.
Verify Customer, Vérifier le client
It was hard to believe.,Ce fut difficile à croire.
Are you still there?, Tu es encore la?
I'm sure.,J'en suis certain.
I learned to milk a cow.,J'ai appris à traire une vache.
He stood all by himself.,Il se tenait tout seul.
How was your summer?,Comment s'est déroulé votre été ?
You have to be very quiet.,Tu dois être très silencieux.
I'm sorry what do you mean by W9?," Je suis désolé, que veux-tu dire par W9?"
Are you dressed?,Êtes-vous habillés ?
You're not cooperating.,Vous ne coopérez pas.
I acquired it.,J’en ai fait l’acquisition.
Verify Customer, Vérifier le client
You didn't need to come.,Tu n'avais pas besoin de venir.
"Okay, give me a sec."," D'accord, donnez-moi une seconde."
Don't touch this!,Ne touche pas à ceci !
Can you forgive me?,Pouvez-vous me pardonner ?
기다려주셔서 감사합니다., 기다려 주셔서 감사 합니다.
It is time to go to bed.,C'est l'heure d'aller se coucher.
Tom bandaged Mary's arm.,Tom pansa le bras de Marie.
We're not all teachers.,Nous ne sommes pas toutes enseignantes.
Am I on time?,Est-ce que je suis à l'heure ?
I'm back! , Je suis revenu!
Cancel booking, Annuler la réservation
You've suffered enough.,Tu as assez souffert.
Pardon me for saying so.,Pardonne-moi de dire ça.
"This coupon will be valid until Jun 17, 2020", Ce coupon sera valide jusqu'au 17 juin 2020
Our sincere condolences.,Nos sincères condoléances.
Get the camera.,Prends l'appareil photo.
I'm unambitious.,Je suis dépourvu d'ambition.
Either he is wrong or I am.,Soit lui ou moi a tort.
I hate all of them.,Je les hais tous.
I left my umbrella at home.,J'ai laissé mon parapluie chez moi.
"Hi, Matthew here."," Salut, Matthew ici."
He's too old for me.,Il est trop vieux pour moi.
Do you want a cold beer?,Veux-tu une bière fraîche?
Where's your grandfather?,Où est ton grand-père?
Can you pitch?,Sais-tu donner le ton ?
That was mean.,C'était méchant.
We should wait for help.,Nous devrions attendre de l'aide.
What's this called?,Comment nomme-t-on cela ?
It made sense.,Ça avait du sens.
This is a fantastic place.,C'est un endroit fantastique.
She did not listen.,Elle n'écouta pas.
Yes , Oui
No one will find us here.,Personne ne nous trouvera ici.
He has written a letter.,Il a écrit une lettre.
I thought I'd be safe here.,"Je pensais être en sécurité, ici."
Tom wants to speak.,Tom voudrait parler.
Their sales are growing.,Leurs ventes augmentent.
Try it on.,Essaie-le !
Have you ever been lonely?,As-tu jamais été seule ?
No one knows the future.,Personne ne connaît le futur.
This joke is not funny.,Cette blague n'est pas drôle.
Please give me this pen.,"S'il te plaît, donne-moi ce stylo."
Are you still there?, Tu es encore la?
Is that really appropriate?,Est-ce vraiment approprié ?
I don't want to give up.,Je ne veux pas abandonner.
You don't know us.,Vous ne nous connaissez pas.
Are you vegetarian?,Es-tu végétarienne ?
We're not going.,Nous ne nous en allons pas.
I got a bad grade.,Je me suis tapé une mauvaise note.
Everybody knows the news.,Tout le monde connaît la nouvelle.
Go away. I'm busy.,Partez. Je suis occupé.
I work for Tom.,Je travaille pour Tom.
"Okay, thank you! One moment."," D'accord, merci! Un moment."
Who's had enough?,Qui en a eu assez ?
I made us lunch.,Je nous ai préparé un déjeuner.
What do you want me to do?,Que veux-tu que je fasse ?
Do you have any complaints?,Veux-tu te plaindre de quoi que ce soit ?
Thank you! Pulling it up., Je vous remercie! Le tirant vers le haut.
I left it unlocked.,Je l'ai laissée déverrouillée.
Do you have any in blue?,En avez-vous en bleu ?
Tom seems jealous.,Tom semble jaloux.
Yes. that is correct., Oui. c'est exact.
I have no control over it.,Je n'en ai aucun contrôle.
I thought we were happy.,Je pensais que nous étions heureuses.
What a strange man!,Quel homme bizarre !
I don't trust you.,Je n'ai pas confiance en toi.
I also checked their website., J'ai également consulté leur site Web.
Verify Customer, Vérifier le client
